,kW,Rida,Gamybos_metai
1432,155,223149,200911
1433,135,249000,201210
1434,135,195235,201201
1435,206,272816,201308
1436,135,345382,201102
1437,130,327039,2012
1438,110,214500,201508
1439,110,268888,201510
1440,245,296000,201007
1441,140,223839,201412
1442,110,349000,201702
1443,129,279000,201209
1444,110,195000,201106
1445,120,254000,201512
1446,150,329000,201007
1447,150,377000,201112
1448,130,300000,201212
1449,130,280000,2012
1450,170,315000,201202
1451,155,223149,200911
1452,135,249000,201210
1453,135,195235,201201
1454,206,272816,201308
1455,110,290000,201507
1456,135,345382,201102
1457,130,327039,2012
1458,110,214500,201508
1459,110,268888,201510
1460,245,296000,201007
1461,140,223839,201412
1462,110,349000,201702
1463,129,279000,201209
1464,110,195000,201106
1465,120,254000,201512
1466,150,329000,201007
1467,150,377000,201112
1468,130,300000,201212
1469,130,280000,2012
1470,170,315000,201202
1471,151,332452,2010
1472,110,246000,201601
1473,125,250000,2012
1474,173,310000,200711
1475,160,281000,2012
1476,150,380000,201007
1477,170,335004,2011
1478,135,263000,201208
1479,120,290000,201205
1480,173,327487,200811
1481,173,270500,200911
1482,173,333333,200808
1483,213,208000,200912
1484,177,236240,201307
1485,150,309015,201209
1486,135,250061,201304
1487,118,231161,201603
1488,151,332452,2010
1489,155,211000,200906
1490,110,246000,201601
1491,125,250000,2012
1492,173,310000,200711
1493,160,281000,2012
1494,150,380000,201007
1495,170,335004,2011
1496,135,263000,201208
1497,110,184624,201311
1498,120,290000,201205
1499,173,327487,200811
1500,173,270500,200911
1501,173,333333,200808
1502,170,1,200708
1503,213,208000,200912
1504,177,236240,201307
1505,150,309015,201209
1506,135,250061,201304
1507,118,231161,201603
1508,211,135725,201304
1509,173,308557,200711
1510,206,260000,201310
1511,120,247535,201311
1512,190,152763,201101
1513,120,275291,201108
1514,110,195450,201507
1515,210,324000,200910
1516,150,263512,201101
1517,225,340604,201304
1518,130,273000,201201
1519,125,160340,201609
1520,110,183293,201309
1521,155,200000,2012
1522,129,213407,201403
1523,110,211000,2013
1524,110,305211,201712
1525,135,309852,2012
1526,120,270285,201312
1527,211,135725,201304
1528,173,308557,200711
1529,206,260000,201310
1530,120,247535,201311
1531,190,152763,201101
1532,120,275291,201108
1533,110,195450,201507
1534,210,324000,200910
1535,150,263512,201101
1536,176,344350,201009
1537,225,340604,201304
1538,130,273000,201201
1539,125,160340,201609
1540,110,183293,201309
1541,155,200000,2012
1542,129,213407,201403
1543,110,211000,2013
1544,110,305211,201712
1545,135,309852,2012
1546,120,270285,201312
1547,125,397000,201106
1548,180,323000,201106
1549,125,208500,201412
1550,135,245000,201006
1551,180,390000,201011
1552,173,300000,200710
1553,120,183846,201004
1554,135,274777,201310
1555,114,59902,201701
1556,130,343172,201308
1557,155,260000,201209
1558,120,299999,201106
1559,220,319885,201110
1560,176,369000,200911
1561,150,263000,201209
1562,110,250000,201906
1563,158,291500,201106
1564,129,218000,201408
1565,180,349000,201204
1566,155,221000,200911
1567,125,397000,201106
1568,180,323000,201106
1569,125,208500,201412
1570,135,245000,201006
1571,180,390000,201011
1572,173,300000,200710
1573,120,183846,201004
1574,135,274777,201310
1575,114,59902,201701
1576,130,343172,201308
1577,155,260000,201209
1578,120,299999,201106
1579,220,319885,201110
1580,176,369000,200911
1581,150,263000,201209
1582,110,250000,201906
1583,158,291500,201106
1584,129,218000,201408
1585,180,349000,201204
1586,155,221000,200911
1587,150,265000,201106
1588,138,151000,201406
1589,135,233000,201407
1590,170,243000,200907
1591,110,296900,201605
1592,180,255297,201009
1593,176,265000,2011
1594,110,290000,201608
1595,125,183000,201601
1596,180,264322,201209
1597,180,154000,201307
1598,110,302100,201701
1599,125,195186,2011
1600,170,336398,200803
1601,240,124000,200712
1602,129,284028,2010
1603,130,179466,2013
1604,130,179466,2013
1605,160,235691,200908
1606,125,248000,201010
1607,150,265000,201106
1608,138,151000,201406
1609,135,233000,201407
1610,170,243000,200907
1611,110,296900,201605
1612,180,255297,201009
1613,176,265000,2011
1614,110,290000,201608
1615,125,183000,201601
1616,180,264322,201209
1617,180,154000,201307
1618,110,302100,201701
1619,125,195186,2011
1620,170,336398,200803
1621,240,124000,200712
1622,129,284028,2010
1623,130,179466,2013
1624,130,179466,2013
1625,160,235691,200908
1626,125,248000,201010
1627,165,496000,201007
1628,110,212697,201311
1629,160,160000,200712
1630,125,199247,201009
1631,173,280000,2008
1632,135,246875,201312
1633,120,177854,200910
1634,110,302328,2010
1635,110,285211,201811
1636,110,85000,201105
1637,211,177000,2014
1638,110,245000,2015
1639,135,279573,2011
1640,130,211000,201508
1641,180,348500,201104
1642,158,250000,201411
1643,135,221000,201511
1644,110,264300,201409
1645,135,336000,201307
1646,180,370850,201103
1647,165,496000,201007
1648,110,212697,201311
1649,160,160000,200712
1650,125,199247,201009
1651,173,280000,2008
1652,135,246875,201312
1653,120,177854,200910
1654,110,302328,2010
1655,110,285211,201811
1656,110,85000,201105
1657,211,177000,2014
1658,110,245000,2015
1659,135,279573,2011
1660,130,211000,201508
1661,180,348500,201104
1662,158,250000,201411
1663,135,221000,201511
1664,110,264300,201409
1665,135,336000,201307
1666,180,370850,201103
1667,135,198700,201105
1668,180,270000,2014
1669,235,314000,2010
1670,147,221000,201404
1671,155,103000,2013
1672,150,155600,201407
1673,158,255500,201201
1674,180,340000,2010
